movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count,on_streaming_year,in_theaters_year
Naqoyqatsi (Naqoyqatsi: Life as War),PG,Special Interest,2002-10-18,2003-06-24,89.0,Rotten,48.0,52.0,70.0,4180.0,2003,2002.0
Narayama bushiko (Ballad of Narayama),NR,Drama,1958-01-06,1996-08-20,98.0,Fresh,86.0,7.0,90.0,261.0,1996,1958.0
Narc,R,Action & Adventure,2002-12-20,2003-06-17,105.0,Certified Fresh,84.0,158.0,79.0,27756.0,2003,2002.0
Narc,R,Drama,2002-12-20,2003-06-17,105.0,Certified Fresh,84.0,158.0,79.0,27756.0,2003,2002.0
Narc,R,Mystery & Suspense,2002-12-20,2003-06-17,105.0,Certified Fresh,84.0,158.0,79.0,27756.0,2003,2002.0
Narco Cultura,R,Documentary,2013-11-22,2014-02-25,103.0,Certified Fresh,89.0,44.0,77.0,2081.0,2014,2013.0
Narco Cultura,R,Special Interest,2013-11-22,2014-02-25,103.0,Certified Fresh,89.0,44.0,77.0,2081.0,2014,2013.0
Narcopolis,NR,Drama,2015-02-10,2016-01-03,96.0,Rotten,18.0,11.0,26.0,200.0,2016,2015.0
Narcopolis,NR,Science Fiction & Fantasy,2015-02-10,2016-01-03,96.0,Rotten,18.0,11.0,26.0,200.0,2016,2015.0
Nas: Time Is Illmatic,NR,Documentary,2014-01-10,2015-03-02,78.0,Fresh,100.0,38.0,83.0,1142.0,2015,2014.0
Nas: Time Is Illmatic,NR,Special Interest,2014-01-10,2015-03-02,78.0,Fresh,100.0,38.0,83.0,1142.0,2015,2014.0
