movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
The Promise,PG-13,"Drama, Romance",04-21-17,07-18-17,134,Rotten,51,156,92,11475
The Prophecy II,R,Horror,01-20-98,07-09-99,83,Rotten,33,6,44,8376
Kahlil Gibran's The Prophet,PG,Animation,07-08-15,02-02-16,86,Fresh,66,70,75,2311
The Pruitt-igoe Myth: An Urban History,NR,"Documentary, Special Interest",01-20-12,05-23-12,83,Fresh,86,21,82,330
The Public,PG-13,Drama,05-04-19,02-07-19,122,Fresh,66,83,82,172
The Puffy Chair,R,"Art House , International, Comedy, Drama",01-01-05,01-23-07,85,Certified Fresh,77,52,62,5094
The Punk Singer,NR,"Documentary, Musical , Performing Arts",11-29-13,03-25-14,80,Certified Fresh,91,65,83,3425
The Purge,R,"Mystery , Suspense, Science Fiction , Fantasy",07-06-13,08-10-13,85,Rotten,39,150,36,96461
The Purge: Anarchy,R,Horror,07-18-14,10-21-14,104,Rotten,56,134,56,67825
The Purge: Election Year,R,"Action , Adventure, Horror, Mystery , Suspense",01-07-16,04-10-16,105,Rotten,55,154,48,38231
The Pyramid,R,Drama,05-12-14,05-05-15,90,Rotten,14,44,21,13798
The Quake (Skjelvet),PG-13,"Action , Adventure, Drama, Mystery , Suspense",12-14-18,03-19-19,106,Fresh,84,37,55,229
The Queen,NR,"Documentary, Special Interest, Gay , Lesbian",06-28-19,08-29-95,68,Fresh,95,19,68,22
The Queen of Spain (La reina de España),NR,"Art House , International, Comedy, Drama",08-18-17,08-29-17,128,Rotten,31,26,33,62
The Queen of Versailles,PG,"Documentary, Special Interest",07-20-12,11-13-12,100,Certified Fresh,95,115,73,15778
The Quiet,R,"Art House , International, Drama, Mystery , Suspense",08-25-06,02-13-07,87,Rotten,21,94,52,24763
The Quiet Family (Choyonghan kajok),NR,"Art House , International, Comedy, Drama, Horror",01-01-98,07-30-02,99,Fresh,80,5,78,2031
The Quiet Ones,PG-13,Horror,04-25-14,08-19-14,97,Rotten,37,82,25,13257
The Quiet Room,PG,Drama,03-21-97,11-03-08,91,Fresh,80,5,72,139
The Rabbi's Cat,NR,"Action , Adventure, Animation, Art House , International",07-12-12,07-05-13,89,Fresh,94,16,75,1237
The Rachel Divide,NR,Documentary,04-27-18,04-27-18,100,Fresh,72,25,62,81
The Rage in Placid Lake,NR,"Art House , International, Comedy, Drama",10-22-04,04-18-06,89,Rotten,56,16,80,5495
The Raid 2,R,"Action , Adventure",03-28-14,08-07-14,148,Certified Fresh,80,166,87,24167
The Raid: Redemption,R,"Action , Adventure, Art House , International, Drama",03-23-12,08-14-12,100,Certified Fresh,86,161,87,52300
The Railway Man,R,Drama,11-04-14,12-08-14,108,Fresh,67,123,68,15523
The Rainbow Experiment,NR,Drama,12-07-18,12-07-18,129,Rotten,56,9,75,9
The Rambler,R,"Comedy, Drama",07-06-13,06-25-13,99,Rotten,33,12,34,172
The Rape Of Recy Taylor,NR,Documentary,08-12-17,11-27-18,91,Fresh,94,34,71,114
The Raven,R,"Mystery , Suspense",04-27-12,09-10-12,110,Rotten,22,138,46,102548
The Real Blonde,R,"Comedy, Drama",02-27-98,01-26-99,105,Rotten,34,29,37,1391
The Real Dirt on Farmer John,NR,"Documentary, Musical , Performing Arts, Special Interest",04-07-07,08-01-08,82,Certified Fresh,88,42,78,1501
The Red Pill,NR,Documentary,07-10-16,07-03-17,117,Rotten,29,7,92,1457
The Red Sea Diving Resort,NR,Drama,,07-31-19,130,Rotten,30,40,81,658
The Red Turtle (La tortue rouge),PG,"Animation, Art House , International",01-20-17,02-05-17,80,Certified Fresh,93,161,80,6442
The Red Violin (Le violon rouge),R,"Art House , International, Drama, Mystery , Suspense, Romance",11-06-99,12-14-99,130,Fresh,74,42,91,34936
The Reef,R,"Mystery , Suspense",05-15-10,07-19-11,88,Fresh,79,19,40,2340
The Reflecting Skin,R,"Drama, Horror, Mystery , Suspense",01-01-90,02-26-92,116,Fresh,86,14,78,2638
The Reluctant Fundamentalist,R,"Mystery , Suspense",04-26-13,08-27-13,128,Rotten,57,98,61,5581
The Remaining,PG-13,"Mystery , Suspense",05-09-14,01-27-15,83,Rotten,50,10,38,3688
The Rescuers,G,"Action , Adventure, Animation, Kids , Family",06-22-77,05-20-03,80,Fresh,80,30,69,79710
The Resurrection of Gavin Stone,PG,Comedy,01-20-17,02-05-17,92,Rotten,50,12,83,1869
The Retrieval,R,Drama,02-04-14,03-02-15,94,Fresh,93,27,72,812
The Return,NR,"Drama, Television",06-02-04,10-19-04,98,Certified Fresh,95,87,93,9525
The Return of Jafar,G,"Action , Adventure, Animation, Kids , Family, Science Fiction , Fantasy",05-20-94,01-18-05,66,Rotten,33,12,40,90316
The Return of Martin Guerre (Le Retour de Martin Guerre),NR,"Art House , International, Drama, Mystery , Suspense, Romance",05-15-82,10-22-19,123,Fresh,100,15,80,2879
The Return of the Vampire,NR,"Classics, Horror",01-01-44,08-13-02,69,Fresh,75,8,34,1256
The Returned,NR,"Art House , International, Horror, Mystery , Suspense",02-14-14,06-30-14,98,Rotten,58,19,37,843
The Revenant,R,"Action , Adventure, Comedy, Horror",08-24-12,09-18-12,117,Rotten,58,26,49,2235
The Revenant,R,"Action , Adventure, Drama",12-25-15,04-19-16,156,Certified Fresh,79,384,84,104766
The Revisionaries,NR,"Documentary, Special Interest",10-26-12,04-30-13,93,Fresh,92,13,75,1758
The Revival,NR,"Drama, Gay , Lesbian",01-19-18,01-23-18,84,Fresh,78,9,40,47
The Rewrite,NR,Comedy,02-13-15,03-31-15,106,Fresh,66,62,42,5019
The Rider,R,Drama,04-13-18,07-01-19,104,Certified Fresh,97,175,83,1956
The Right Kind of Wrong,R,"Comedy, Romance",03-14-14,05-20-14,97,Rotten,12,17,36,1844
The Riot Act,PG-13,"Mystery , Suspense",09-14-18,08-10-19,101,Fresh,61,18,96,49
The Riot Club (Posh),R,"Art House , International, Drama, Mystery , Suspense",03-27-15,08-18-15,107,Fresh,66,68,43,4985
The Rise (Wasteland),NR,"Drama, Mystery , Suspense",07-26-13,01-09-14,106,Fresh,60,25,63,671
The Rise and Rise of Bitcoin,NR,"Documentary, Special Interest",03-10-14,03-08-15,96,Fresh,67,9,80,271
The Rite,PG-13,"Drama, Mystery , Suspense",01-28-11,05-17-11,114,Rotten,21,170,40,52572
The Ritual,NR,"Art House , International, Horror",,09-02-18,94,Fresh,74,89,60,1844
The River,NR,"Classics, Drama",10-09-59,01-03-05,99,Fresh,91,23,79,2081
The Road,R,"Drama, Horror",11-05-12,09-09-14,110,Fresh,65,17,59,3333
The Road Within,R,"Comedy, Drama",04-17-15,07-07-15,100,Rotten,45,20,68,890
The Robber,NR,"Drama, Sports , Fitness",04-29-11,10-18-11,101,Fresh,79,33,66,832
The Rocket,NR,Drama,10-01-14,04-29-14,96,Certified Fresh,95,63,83,7004
The Rocky Horror Picture Show: Let's Do the Time Warp Again,NR,"Comedy, Horror, Musical , Performing Arts, Television",10-20-16,06-12-16,120,Rotten,28,40,24,506
The Roommate,PG-13,"Horror, Mystery , Suspense",04-02-11,05-17-11,91,Rotten,4,85,27,43346
The Rover,R,"Mystery , Suspense, Science Fiction , Fantasy, Western",06-13-14,09-23-14,103,Fresh,66,167,51,11652
The Royal Tenenbaums,R,Comedy,04-01-02,09-07-02,108,Certified Fresh,80,206,89,255852
The Ruins,R,"Horror, Mystery , Suspense",04-04-08,08-07-08,90,Rotten,48,95,30,530432
The Rules of the Game (La règle du jeu),NR,"Art House , International, Comedy, Drama",08-04-50,01-20-04,110,Certified Fresh,98,47,90,10194
The Runaways,R,"Comedy, Drama, Musical , Performing Arts",09-04-10,07-20-10,107,Fresh,69,185,55,86157
The Rundown,PG-13,"Action , Adventure, Comedy",09-26-03,03-23-04,105,Fresh,69,153,66,185859
The Runner,R,"Action , Adventure, Art House , International, Documentary, Drama, Science Fiction , Fantasy, Special Interest",07-08-15,08-25-15,94,Rotten,24,38,22,1252
The Russian Woodpecker,NR,Documentary,10-16-15,07-26-16,81,Fresh,96,25,69,499
The Sacrament,R,Horror,06-06-14,08-19-14,100,Fresh,64,70,47,4673
The Sacrifice,PG,"Art House , International, Classics, Drama",01-11-86,05-16-00,145,Certified Fresh,85,40,90,6450
The Salesman (Forushande),PG-13,"Art House , International, Drama, Mystery , Suspense",01-27-17,02-05-17,125,Certified Fresh,96,192,84,7312
The Salt of the Earth,PG-13,"Documentary, Special Interest",03-27-15,07-14-15,110,Certified Fresh,95,93,90,8200
